step,epoch,val_loss,val_acc,train_loss,train_acc,test_acc
375,187,,,0.36246076226234436,0.8222222328186035,
377,188,0.0,1.0,,,
377,188,,,0.34439998865127563,0.8444444537162781,
379,189,0.0,1.0,,,
379,189,,,0.28731054067611694,0.8888888955116272,
381,190,0.0,1.0,,,
381,190,,,0.3426190912723541,0.8333333134651184,
383,191,0.0,1.0,,,
383,191,,,0.3262176513671875,0.855555534362793,
385,192,0.0,1.0,,,
385,192,,,0.3679760694503784,0.8111110925674438,
387,193,0.0,1.0,,,
387,193,,,0.3148556649684906,0.8444444537162781,
389,194,0.0,1.0,,,
389,194,,,0.3251402676105499,0.8444444537162781,
391,195,0.0,1.0,,,
391,195,,,0.29944345355033875,0.8666666746139526,
393,196,0.0,1.0,,,
393,196,,,0.31578609347343445,0.8444444537162781,
395,197,0.0,1.0,,,
395,197,,,0.3264963924884796,0.8444444537162781,
397,198,0.0,1.0,,,
397,198,,,0.3445647656917572,0.8111110925674438,
399,199,0.0,1.0,,,
399,199,,,0.2771743834018707,0.8444444537162781,
400,200,,,,,0.7666666507720947
400,200,,,,,1.0
